# Sky-position regression corpus for the direction cascade: the
# canonical high-PM set (tier-1 Gaia) plus one pin per non-Gaia tier —
# Sirius/Vega for hip2_saturated (the Gaia-saturated bright set),
# HD 14039 for tycho2, Gl 863.1A for simbad (the cascade's bottom tier).
#
# Positions are at the J2016.0 scene epoch (CATALOG_SCENE_EPOCH). There is
# no longer an unpropagated row: every tier now advances its own solution
# to the scene epoch, which is what retiring the printed cell bought.
# - Gaia tier: the raw Gaia DR3 catalog ra/dec, whose native epoch IS
#   J2016.0 — so the cascade's propagation is a Δt=0 no-op here. These
#   rows therefore pin source-id selection, tier routing, and xyz
#   assembly (a wrong source or a sign flip shows up as tens of arcsec),
#   NOT the propagation formula. That formula (PM sign / cos delta /
#   Δt direction) is exercised by the 24.75-yr HIP2 tier below and
#   pinned independently against SIMBAD J2000 in direction-cascade.test.ts.
# - Sirius/Vega (hip2_saturated): van-Leeuwen-2007 J1991.25 PM-propagated
#   24.75 yr forward to J2016.0 — this DOES exercise the propagation.
# - Gl 863.1A (simbad): no Gaia source, and HIP 111293 is absent from
#   HIP2, so the bottom tier places it — SIMBAD's bibcoded J2000
#   coordinate (2MASS, 2003yCat.2246....0C) advanced 16 yr on SIMBAD's own
#   bibcoded PM (1368.0, 111.0 mas/yr, 2005AJ....129.1483L). RE-PINNED
#   DELIBERATELY when the printed cell retired, and the move is the point:
#   this row used to hold that cell UNPROPAGATED, and the new value is
#   49.2" away. That splits into two separate corrections — the printed
#   cell sat 27.3" from SIMBAD's J2000 place (~20 yr of this star's motion,
#   so the cell was never really J2000), and the remaining 22.0" is the
#   J2000 → J2016 propagation the tier now performs. Tolerance 1.0" states
#   the confidence of a 2MASS coordinate plus a literature PM, not the
#   build's reproducibility, which is exact.
# - xi UMa: WAS the athyg_printed pin, until its spine row's backfilled
#   source_id reached a Gaia row. It now routes tier 1 as a 2p
#   (position-only) anchor and this row pins that Gaia J2016.0 coord — worth
#   ~11" of staleness against the printed cell it left, its 730 mas/yr over
#   the 16 yr from J2000. The 2p fit is blended (ipd_frac_multi_peak 24 on a
#   ~2" pair), so the coord is the pair photocentre rather than A alone —
#   good to ~1", which is why it stays looser than the 0.5" Gaia rows above.
#
# - HD 14039 (tycho2): the tier's highest-PM member at 408 mas/yr, and the row
#   that pins its epoch. Tycho-2 states the mean position at J2000 — NOT at
#   ep_ra/ep_de, which date the observations behind it — so this advances 16 yr
#   on Tycho-2's own PM, 6.5" of motion. Reading the epoch columns as the
#   position's instead advances it 24.93 yr and lands 3.7" away, which is where
#   this row sat when it was added; data/tycho2/README.md § Which position to
#   propagate from carries the measurement that settled both cells.
#
#   The expected value is computed from the published cells rather than taken
#   from a catalogue's own J2016 statement, since no catalogue publishes one for
#   a star Gaia and HIP2 both miss. It agrees with Gaia's place — SIMBAD's
#   J2000 coordinate advanced on its own PM — to 0.113", so the 0.5" tolerance
#   states the same thing it does on the Gaia rows: reproducibility, with the
#   source's own accuracy comfortably inside it.
#
# ref addresses the record the way every other frozen corpus does
# (`../parse/corpus-tsv.ts`). xi UMa's spine row carries HIP 55203, but that
# Hipparcos entry is the unresolved AB pair and xi UMa B holds its own
# record, so it is addressed by proper name instead. HD 14039 has none of
# the three: no HIP, no Gaia source_id, no proper name — which is what a
# tycho2-tier record is by construction, and why `hd:` exists. It resolves
# through the search index, since the binary carries no HD column.
#
# total_pm_masyr is the published total proper motion (mas/yr). The
# current-epoch velocity test advances the star's BAKED J2016 position +
# BAKED vx/vy/vz through the same epoch-advance-pure function the runtime
# uses and checks the on-sky angular displacement equals total_pm × Δt —
# validating end-to-end that catalog.bin's space-motion velocity reproduces
# the star's real proper motion (a wrong tier / distance-scale / unit / sign
# would miss badly at a 34 yr baseline). Blank = skip (velocity magnitude
# not pinned for that row) — xi UMa's 2p Gaia row fits no PM at all, so its
# record bakes no velocity and there is nothing to advance. Gl 863.1A is the
# only row pinning the simbad velocity tier, off SIMBAD's bibcoded PM —
# which is the same 1368.0 / 111.0 the printed cell carried, so the tier
# swap moved this star's velocity not at all.
name	ref	ra_deg_j2016	dec_deg_j2016	tol_arcsec	total_pm_masyr
Barnard's Star	hip:87937	269.4485025250	4.739420051	0.5	10392.8
Kapteyn's Star	hip:24186	77.9599373500	-45.043812699	0.5	8670.5
Groombridge 1830	hip:57939	178.2673532080	37.692826947	0.5	7058.4
61 Cyg A	hip:104214	316.7484792940	38.763862446	0.5	5281.0
61 Cyg B	hip:104217	316.7536627530	38.756072772	0.5	5172.0
Keid	hip:19849	63.8079530060	-7.668077815	0.5	4088.0
Gl 863.1A	hip:111293	338.2468515815	53.795091576	1.0	1372.5
Sirius	hip:32349	101.2846216628	-16.721551666	0.5	1339.4
Vega	hip:91262	279.2358804374	38.784961091	0.5	350.8
xi UMa	name:Alula Australis	169.543285282	31.526916852	1.5
HD 14039	hd:14039	34.6052611700	56.558920690	0.5	408.2
