# known-stars.tsv — Phase 4 tier-A validation corpus for the binary
# catalogue. Each row is one star system the pipeline must reproduce
# correctly; scripts/catalog/known-stars.test.ts drives per-row
# assertions against public/catalog.bin via the catalog-lookup library.
#
# ---- Columns -------------------------------------------------------------
#
# wds_id                    WDS positional ID (e.g. "06451-1643"). Empty
#                           for single stars.
# system_name               Display name ("Sirius", "α Cen", "Vega").
# primary_hip               Hipparcos number of the primary. Empty for
#                           HIP-less systems (Tycho-only / no HIP). A row
#                           with neither HIP nor Gaia is looked up by
#                           system_name (Sol — the one record addressable
#                           only by proper name).
# primary_gaia_source_id    Gaia DR3 source_id of the primary (int64).
#                           Empty when no Gaia DR3 match exists (e.g.
#                           Sirius A — saturated in Gaia DR3).
# primary_distance_pc       Expected pipeline distance to the primary
#                           in parsecs.
# primary_distance_pc_err   1-sigma uncertainty on primary_distance_pc.
#                           Used in the tolerance gate (see below).
# primary_absmag            Expected absolute magnitude of the primary —
#                           the INTRINSIC (de-extincted) value the build
#                           writes, not observed mag − 5·log(d/10). The
#                           build subtracts the Sol→star Edenhofer A_V so
#                           the runtime raymarch re-adds it without
#                           double-counting; luminous stars behind
#                           measurable dust (Antares, ν Sco, the LMC
#                           supergiants) therefore sit brighter here than
#                           their reddened apparent photometry implies.
# primary_spectral          Expected MK spectral type as a human-readable
#                           string ("A0V", "M5.5Ve", "DA1.9"). The test
#                           parses it via classifyFromSimbad and asserts
#                           classIdx + lumClass match record.spectClass +
#                           record.lumClass. The binary stores only those
#                           two bytes; subclass round-trips through the
#                           resolver but is not pinned in catalog.bin.
# primary_ci                Optional pin on record.ci — the INTRINSIC
#                           (de-reddened) B−V the build writes. Pins the
#                           pipeline value; the canonical literature B−V
#                           is noted in notes_source where it differs.
# primary_radius_rsun       Optional pin on record.physicalRadius (R☉).
#                           Pins the pipeline value; canonical published
#                           radii noted in notes_source.
# radius_rel_tol            Optional per-row relative tolerance for
#                           primary_radius_rsun (default 0.10).
# companions                Semicolon-separated tuples:
#                             comp_letter:hip:gaia_id:absmag[:max_sep_au]
#                           Empty for single-star rows. Components with
#                           no HIP leave the hip slot empty
#                           ("B::4658136172363835776:11.34"). Companion
#                           hip + gaia_id + absmag are pulled from
#                           data/binaries/multiples.tsv, which is
#                           itself the validation target —
#                           SIMBAD spot-checks the primaries).
#                           Optional max_sep_au pins the companion's
#                           catalog.bin xyz to within that many AU of
#                           the primary's catalog.bin xyz. Used to
#                           regression-guard synth-promoted companions
#                           whose tangent-projected position depends on
#                           the route-detector in companion-promotion
#                           (Algol Ab/Aa2, Polaris Ab, Capella Ab).
# orbital_period_days       Expected pipeline orbital period in days
#                           (companion record .periodDays). Empty when
#                           the system lacks a well-determined orbit or
#                           the pipeline does not propagate one.
# var_type                  Optional GCVS variability pin: "pulsating" /
#                           "eclipsing" / "other" asserts record.varType
#                           against the catalog-pure VAR_TYPE_* enum;
#                           "none" asserts the record carries NO
#                           variability (varType, period, amplitude all
#                           zero). Empty = no varType assertion.
# var_period_days           Optional GCVS published period in days,
#                           UNQUANTISED. The test applies the build's
#                           encoding (round(P × 10) into uint16, 0.1 d
#                           quanta, 6553.5 d clamp) before comparing to
#                           record.periodDays.
# var_amp_mag               Optional GCVS amplitude (max − min, mag),
#                           unquantised. Encoded as round(amp × 20)
#                           into uint8 (0.05 mag quanta, 12.75 clamp)
#                           before comparing to record.amplitudeMag.
# tier                      Required regression-tier tag. Enum, rejected
#                           at load when blank or unrecognised:
#                             standard            no distance-refinement
#                                                 layer under test
#                             bj-override         Bailer-Jones re-anchor
#                                                 of a catastrophic
#                                                 AT-HYG G_R3 distance
#                             bj-no-degradation   well-measured nearby
#                                                 row B-J must not shift
#                             lmc-kinematic-snap  LMC kinematic snap to
#                                                 the Pietrzyński anchor
#                           Single/visual-binary partitioning is derived
#                           from the companions cell, not tagged here.
# notes_source              Provenance citation. Required on every row.
#                           Format: "SIMBAD <permalink>" /
#                           "ORB6 entry P=…" / "Gaia DR3 ADQL
#                           spot-check 2026-MM-DD" / "Pietrzyński 2019
#                           LMC distance". Prose only — the machine-read
#                           tag is the tier column.
#
# ---- Tolerances ----------------------------------------------------------
#
# Asserted by known-stars.test.ts:
#   primary_distance_pc       ±0.01 pc OR 1-sigma, whichever is larger
#   primary_absmag            ±0.05
#   primary_spectral          classIdx (record.spectClass) exact match;
#                             lumClass exact match unless the row's
#                             spectral string is bare-class (no Roman).
#   primary_ci                ±0.03 (float32 + Ballesteros round-trip)
#   primary_radius_rsun       ±10% relative, or the row's radius_rel_tol
#   companion absmag          ±0.05
#   companion hip / gaia_id   exact match
#   orbital_period_days       ±5% (only checked when row has a value)
#   var_type                  exact enum match ("none" = all three zero)
#   var_period_days           exact after uint16 0.1 d quantisation
#   var_amp_mag               exact after uint8 0.05 mag quantisation
#
# ---- Authoring discipline ----------------------------------------------
#
# Every row carries notes_source — no row added without a traceable
# citation. Distance + absmag verified against AT LEAST TWO independent
# sources where possible (SIMBAD + Gaia DR3 ADQL; ORB6 + van Leeuwen
# HIP2; etc.). Companion rows use multiples.tsv as one source;
# SIMBAD per-oid as the second. Variability pins quote the GCVS 5.1
# published period + max/min magnitudes (the pipeline input is the
# same frozen GCVS snapshot, so these pins are parse + cross-match +
# encode regression guards; AAVSO / SIMBAD otype spot-checks noted in
# notes_source where consulted). The TSV is the contract — the
# vitest exercises every row, every column.
#
# ---- Format ----------------------------------------------------------
#
# Tab-separated. Lines beginning with "#" are skipped by the parser.
# Empty cells render as adjacent tabs.
#
wds_id	system_name	primary_hip	primary_gaia_source_id	primary_distance_pc	primary_distance_pc_err	primary_absmag	primary_spectral	primary_ci	primary_radius_rsun	radius_rel_tol	companions	orbital_period_days	var_type	var_period_days	var_amp_mag	tier	notes_source
# ---- Distance-refinement regression cases ------------------------------
# B-J override re-anchored from catastrophic AT-HYG G_R3 distance:
	HD 30353	22365	204531088580182016	6244.791	10	-7.108	A5Iap									bj-override	Bailer-Jones 2021 DR3 posterior re-anchored from AT-HYG's G_R3 distance; SIMBAD HD 30353 sp_type=A5Iap (sg*). Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag.
	HD 35921	25733	183255985260080896	5466.246	10	-7.350	O9II									bj-override	Bailer-Jones 2021 DR3 posterior re-anchored from AT-HYG's G_R3 distance; SIMBAD HD 35921 sp_type=O9II. Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag.
	HD 64315	38430	5602025904044961536	6215.232	10	-4.514	O5.5Vz+O7V									bj-override	Bailer-Jones 2021 DR3 posterior re-anchored from AT-HYG's G_R3 distance; SIMBAD HD 64315 sp_type=O5.5Vz+O7V (eclipsing binary). Anchor dimmed by its dmag-split synth companions (flux conservation), whose fit now reads the anchor at the B-J distance the record took rather than multiples.tsv's 12.66 kpc system distance. Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag.
	HIP 46144	46144	1040043514891491968	7515.496	10	-4.335	A0									bj-override	Bailer-Jones 2021 DR3 posterior re-anchored from AT-HYG's G_R3 distance; SIMBAD HIP 46144 sp_type=A0 (bare; no lumClass pin).
# B-J no-degradation guard — well-measured nearby F-dwarf, B-J must not perturb:
	HD 33305	23785	4773096563064098432	92.871	0.5	3.551	F5V									bj-no-degradation	high-S/N nearby F-dwarf; Bailer-Jones posterior must not shift the AT-HYG value. SIMBAD HD 33305 sp_type=F5V.
# LMC kinematic snaps — pinned to Pietrzyński 2019 49.594 kpc:
	HD 269529		4658107884688023040	49593.999	1	-7.628	G0	0.532	289.3							lmc-kinematic-snap	Pietrzyński 2019 49.594 kpc eclipsing-binary anchor. SIMBAD HD 269529 sp_type=G0 (bare). Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag. ci RE-PINNED 0.488 -> 0.532 by stellata-3bsf.12: B-V now comes from the Gaia BP-RP relation rather than the spine's printed cell, which is the cascade's top tier (../photometry/README.md section The ci cascade).
	HD 271416		4660699674131931008	49593.998	1	-7.198	K0									lmc-kinematic-snap	Pietrzyński 2019 49.594 kpc eclipsing-binary anchor. SIMBAD HD 271416 sp_type empty; class byte from Gaia GSP-Spec K — synthesized K0 for round-trip. Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag.
	HD 268691		4661719299382753408	49593.999	1	-7.837	K7									lmc-kinematic-snap	Pietrzyński 2019 49.594 kpc eclipsing-binary anchor. SIMBAD HD 268691 sp_type=K7 (bare). Absmag re-pinned for the Riello G−V cascade: V is now transformed Gaia photometry rather than AT-HYG's printed mag.
	CPD-62 371	21398	4677073601271449856	49594.001	1	-9.595	M0									lmc-kinematic-snap	Pietrzyński 2019 49.594 kpc eclipsing-binary anchor. SIMBAD CPD-62 371 sp_type empty; class byte from Gaia GSP-Spec M — synthesized M0 for round-trip.
# ---- Single stars ------------------------------------------------------
# Bright stars saturated in Gaia DR3 have null gaia_source_id; the
# pipeline's spectral resolver requires a Gaia source_id, so spectClass
# falls back to 8 (unknown). The corpus pins spectClass=8 via empty
# primary_spectral; SIMBAD's true sp_type is annotated in notes_source.
	Sol			0	0.01	4.850	G2V	0.656	1.035							standard	Sol — no HIP, no Gaia source_id, no SIMBAD row; classified via the curated Sol special-case in stars-parse.ts (G2V) and addressed by name in the harness. ci = AT-HYG B−V 0.656 (canonical 0.653); R = 1.035 R☉ from the Stefan-Boltzmann chain (canonical 1.0 — the calibration point).
06451-1643	Sirius	32349		2.637	0.011	1.454	A0mA1Va	0.009	1.915	0.15						standard	SIMBAD * alf CMa sp_type=A0mA1Va; HIP2 parallax 379.21 mas → 2.637 pc. Gaia-saturated (no source_id); spectral via the SIMBAD HIP fallback tier. ci 0.009 (canonical B−V 0.00). R pins the pipeline value 1.915 R☉ with rel_tol 0.15: canonical interferometric 1.711 (Kervella+ 2003) sits ~12% below — the class-table BC for the Am composite overshoots slightly; the pin catches regressions past that known offset.
	Vega	91262		7.679	0.05	0.604	A0V	-0.001	2.687				dsct	0.19	0.09	standard	SIMBAD * alf Lyr sp_type=A0V; HIP2 parallax 130.23 mas. Bright star saturated in Gaia DR3 (no source_id); spectral resolves via resolveSpectralInfo's SIMBAD HIP fallback tier. GCVS alf Lyr: DSCTC P=0.19 d, amp V -0.02→0.07 (0.09), pinned pulsating (DSCTC subtype-tail).
	Altair	97649		5.129	0.05	2.210	A7Vn						dsct	0.06342	0.004	standard	SIMBAD * alf Aql sp_type=A7Vn; HIP2 parallax. Bright star, no Gaia DR3 match. GCVS alf Aql: DSCTC P=0.06342 d, amp V (0.004) — parenthesised amplitude notation (the once-dropped GCVS notation class); 0.004 mag quantises to ampUnits=0, so the pin asserts period + type with amplitude below the 0.05-mag encoding quantum.
