category	name	wds_id	component	expected_resolve_via	expected_gaia_source_id	note
naked_eye_double	Albireo A	19307+2758	A	simbad_xid	2026116260337482112	SIMBAD * bet01 Cyg
naked_eye_double	Albireo B	19307+2758	B	simbad_xid	2026113339752723456	SIMBAD * bet02 Cyg; the classic optical-vs-physical showcase pair — Stage 2 rows exist regardless of the Stage 5 verdict
naked_eye_double	Mizar A	13239+5456	A	simbad_xid	1563590579347125632	SIMBAD * zet01 UMa
naked_eye_double	Mizar Aa	13239+5456	Aa	orb6_hip	1563590579347125632	sub-letter carries the letter-A source; ORB6 spectroscopic pair
naked_eye_double	Mizar B	13239+5456	B	simbad_xid	1563590510627624064	SIMBAD * zet02 UMa
naked_eye_double	Alcor	13239+5456	C	unresolved		SIMBAD * g UMa carries Gaia DR3 1565090003967879424 but stores no WDS J13239+5456C ident, and position tiers are unwired — expect this row to flip when position_pm lands
naked_eye_double	ksi UMa A	11182+3132	A	simbad_xid	756853643638639104	SIMBAD * ksi UMa A; stellata-dch.74 cascade showcase
naked_eye_double	ksi UMa B	11182+3132	B	simbad_xid	756853643637996160	SIMBAD * ksi UMa B
naked_eye_double	gam Vir A	12417-0127	A	athyg_gaia_native	3683687763520080384	Porrima; SIMBAD * gam Vir
naked_eye_double	gam Vir B	12417-0127	B	simbad_xid	3683687763520080256	SIMBAD * gam Vir B
naked_eye_double	gam01 Leo	10200+1950	A	unresolved		Algieba; SIMBAD * gam01 Leo carries no DR3 (saturated giant)
naked_eye_double	gam02 Leo	10200+1950	B	unresolved		SIMBAD * gam02 Leo carries no DR3
naked_eye_double	gam01 And	02039+4220	A	unresolved		Almach; SIMBAD * gam01 And carries no DR3; bare HIP 9640 retained
naked_eye_double	gam02 And	02039+4220	BC	simbad_xid	346231302441905920	aggregate BC token with its own SIMBAD object * gam02 And
gaia_saturated_bright	Sirius A	06451-1643	A	unresolved		SIMBAD * alf CMa carries no DR3; bare HIP 32349 feeds Stage 3 hip2_long_baseline
gaia_saturated_bright	Sirius B	06451-1643	B	simbad_xid	2947050466531873024	SIMBAD * alf CMa B (white dwarf); oid reached via wds_xids_overrides.tsv — SIMBAD stores no WDS J06451-1643B ident
gaia_saturated_bright	Procyon A	07393+0514	A	unresolved		SIMBAD * alf CMi carries no DR3
gaia_saturated_bright	Procyon B	07393+0514	B	unresolved		SIMBAD * alf CMi B (white dwarf) has an entry but no DR3
gaia_saturated_bright	alf Cen A	14396-6050	A	unresolved		SIMBAD * alf Cen A carries no DR3 (saturation)
